source_table,target_table,table_confidence,source_column,best_match_column,column_confidence
tbl_emp_prj_xref,inventory_weekly,0.7421,tbl_emp_prj_xref.emp_prj_map_id,inventory_weekly.hq_ln_abbr_cd,0.7266
tbl_emp_prj_xref,inventory_weekly,0.7421,tbl_emp_prj_xref.emp_ref_key,inventory_weekly.hq_ln_abbr_cd,0.75
tbl_emp_prj_xref,inventory_weekly,0.7421,tbl_emp_prj_xref.prj_ref_key,inventory_weekly.hq_ln_abbr_cd,0.742
tbl_emp_prj_xref,inventory_weekly,0.7421,tbl_emp_prj_xref.asg_role_cd,inventory_weekly.curr_ownshp_typ_cd,0.75
tbl_pay_comp_hist,inventory_weekly,0.7319,tbl_pay_comp_hist.cmp_evt_id,inventory_weekly.hq_ln_abbr_cd,0.7061
tbl_pay_comp_hist,inventory_weekly,0.7319,tbl_pay_comp_hist.emp_bnf_ref,inventory_weekly.hq_ln_abbr_cd,0.75
tbl_pay_comp_hist,inventory_weekly,0.7319,tbl_pay_comp_hist.amt_val_num,inventory_weekly.fld_ln_abbr_cd,0.7294
tbl_pay_comp_hist,inventory_weekly,0.7319,tbl_pay_comp_hist.curr_iso_cd,inventory_weekly.curr_ownshp_typ_cd,0.75
tbl_pay_comp_hist,inventory_weekly,0.7319,tbl_pay_comp_hist.dt_eff_from,inventory_weekly.lvl_3_hrchy_desc,0.7238
tbl_dept_master,inventory_weekly,0.7301,tbl_dept_master.dept_pk_id,inventory_weekly.hq_ln_abbr_cd,0.7425
tbl_dept_master,inventory_weekly,0.7301,tbl_dept_master.dept_nm_txt,inventory_weekly.lvl_1_hrchy_desc,0.7119
tbl_dept_master,inventory_weekly,0.7301,tbl_dept_master.loc_ref_cd,inventory_weekly.hq_ln_abbr_cd,0.7359
tbl_emp_core_dtls,inventory_weekly,0.7284,tbl_emp_core_dtls.emp_unq_ref,inventory_weekly.hq_ln_abbr_cd,0.75
tbl_emp_core_dtls,inventory_weekly,0.7284,tbl_emp_core_dtls.emp_fn_nm,inventory_weekly.lvl_1_hrchy_desc,0.7156
tbl_emp_core_dtls,inventory_weekly,0.7284,tbl_emp_core_dtls.emp_ln_nm,inventory_weekly.lvl_1_hrchy_desc,0.7227
tbl_emp_core_dtls,inventory_weekly,0.7284,tbl_emp_core_dtls.wrk_email_addr,inventory_weekly.lvl_4_hrchy_desc,0.7216
tbl_emp_core_dtls,inventory_weekly,0.7284,tbl_emp_core_dtls.dt_hire_eff,inventory_weekly.lvl_1_hrchy_desc,0.7103
tbl_emp_core_dtls,inventory_weekly,0.7284,tbl_emp_core_dtls.dept_fk_ref,inventory_weekly.hq_ln_abbr_cd,0.75
tbl_prj_portfolio,inventory_weekly,0.6995,tbl_prj_portfolio.prj_sys_gen_id,inventory_weekly.hq_ln_abbr_cd,0.7041
tbl_prj_portfolio,inventory_weekly,0.6995,tbl_prj_portfolio.prj_lbl_nm,inventory_weekly.lvl_3_hrchy_desc,0.7102
tbl_prj_portfolio,inventory_weekly,0.6995,tbl_prj_portfolio.dt_prj_start,inventory_weekly.lvl_3_hrchy_desc,0.6852
tbl_prj_portfolio,inventory_weekly,0.6995,tbl_prj_portfolio.dt_prj_end,inventory_weekly.lvl_3_hrchy_desc,0.6985
